game,date,numbers,bonus,gold_ball,scraped_at,source_block_index
Lotto Max,2013-09-13,"[2, 6, 12, 15, 16, 22, 49]",46,,2025-06-13T18:58:58.545916,207
Lotto Max,2013-09-20,"[2, 14, 15, 24, 40, 43, 44]",45,,2025-06-13T18:58:58.545916,208
Lotto Max,2013-09-27,"[10, 11, 18, 24, 26, 42, 47]",45,,2025-06-13T18:58:58.545916,209
Lotto Max,2013-10-04,"[12, 16, 19, 20, 28, 34, 42]",9,,2025-06-13T18:58:58.545916,210
Lotto Max,2013-10-11,"[7, 8, 9, 16, 21, 28, 48]",29,,2025-06-13T18:58:58.545916,211
Lotto Max,2013-10-18,"[10, 26, 28, 33, 34, 35, 40]",12,,2025-06-13T18:58:58.545916,212
Lotto Max,2013-10-25,"[13, 16, 24, 29, 33, 40, 49]",28,,2025-06-13T18:58:58.545916,213
Lotto Max,2013-11-01,"[11, 12, 16, 22, 30, 32, 49]",35,,2025-06-13T18:58:58.545916,214
Lotto Max,2013-11-08,"[7, 8, 10, 15, 24, 26, 41]",12,,2025-06-13T18:58:58.545916,215
Lotto Max,2013-11-15,"[1, 3, 10, 15, 25, 28, 31]",7,,2025-06-13T18:58:58.545916,216
Lotto Max,2013-11-22,"[2, 24, 35, 38, 39, 41, 48]",20,,2025-06-13T18:58:58.545916,217
Lotto Max,2013-11-29,"[3, 6, 19, 31, 34, 42, 45]",30,,2025-06-13T18:58:58.545916,218
Lotto Max,2013-12-06,"[3, 4, 11, 18, 37, 42, 44]",47,,2025-06-13T18:58:58.545916,219
Lotto Max,2013-12-13,"[6, 16, 24, 32, 36, 45, 47]",25,,2025-06-13T18:58:58.545916,220
Lotto Max,2013-12-20,"[2, 13, 18, 24, 27, 37, 43]",14,,2025-06-13T18:58:58.545916,221
Lotto Max,2013-12-27,"[1, 6, 9, 11, 17, 37, 39]",32,,2025-06-13T18:58:58.545916,222
Lotto Max,2014-01-03,"[7, 16, 31, 35, 39, 44, 48]",42,,2025-06-13T18:58:58.545916,223
Lotto Max,2014-01-10,"[12, 28, 31, 38, 40, 41, 45]",15,,2025-06-13T18:58:58.545916,224
Lotto Max,2014-01-17,"[4, 9, 18, 32, 35, 38, 40]",12,,2025-06-13T18:58:58.545916,225
Lotto Max,2014-01-24,"[7, 10, 15, 23, 30, 36, 44]",45,,2025-06-13T18:58:58.545916,226
Lotto Max,2014-01-31,"[6, 10, 16, 27, 38, 40, 45]",39,,2025-06-13T18:58:58.545916,227
Lotto Max,2014-02-07,"[13, 19, 37, 38, 40, 43, 48]",46,,2025-06-13T18:58:58.545916,228
Lotto Max,2014-02-14,"[6, 8, 11, 16, 17, 19, 24]",29,,2025-06-13T18:58:58.545916,229
Lotto Max,2014-02-21,"[1, 10, 16, 23, 29, 35, 39]",46,,2025-06-13T18:58:58.545916,230
Lotto Max,2014-02-28,"[4, 7, 20, 22, 26, 28, 29]",47,,2025-06-13T18:58:58.545916,231
Lotto Max,2014-03-07,"[1, 6, 7, 16, 22, 31, 33]",25,,2025-06-13T18:58:58.545916,232
Lotto Max,2014-03-14,"[3, 4, 5, 7, 31, 33, 40]",49,,2025-06-13T18:58:58.545916,233
Lotto Max,2014-03-21,"[1, 2, 4, 21, 23, 35, 40]",5,,2025-06-13T18:58:58.545916,234
Lotto Max,2014-03-28,"[8, 15, 16, 21, 31, 37, 39]",20,,2025-06-13T18:58:58.545916,235
Lotto Max,2014-04-04,"[19, 30, 33, 34, 36, 41, 48]",11,,2025-06-13T18:58:58.545916,236
